name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"Aktug13_bk2_3a                                                      ",35.898,39.074,34.879,37.44,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_bk2_3b                                                      ",34.75,37.247,34.879,37.44,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Aktug13_bk2_edit                                                    ",37.993,39.576,39.272,39.873,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Aktug13_bk3_4                                                       ",32.99,35.999,33.324,36.557,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_bk3_5                                                       ",33.324,36.557,34.75,37.247,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_bk5_3edit                                                   ",31.349,38.509,32.161,37.65,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Aktug_3Naa                                                          ",27.445,39.213,28.421,39.249,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Aktug_3Nab                                                          ",28.421,39.249,29.442,39.04,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Aktug_3Nba                                                          ",29.442,39.04,29.921,39.02,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Aktug_3Nbb                                                          ",29.921,39.02,31.349,38.509,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
