lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
243.185,34.675,-0.01,5,"P034_PBO",-11.528,10.872,0.2,0.2,1,0,1,0,0,0,
240.647,34.683,-0.009,3,"HLID_PBO",-28.787,24.343,0.644,0.634,1,0,1,0,0,0,
243.791,34.699,-0.002,8,"FLIN_PBO",-6.025,2.158,0.3,0.5,1,0,1,0,0,0,
244.089,34.727,-0.002,8,"ACSO_PBO",-4.023,1.551,0.4,0.5,1,0,1,0,0,0,
239.991,34.733,-0.007,3,"P744_PBO",-30.539,32.045,0.3,0.2,1,0,1,0,0,0,
240.896,34.734,-0.032,3,"P429_PBO",-24.689,21.027,1.14,1.17,1,0,1,0,0,0,
261.219,34.738,0.008,1,"WORD_GNI",-0.996,-1.457,1.1,1.1,1,0,1,0,0,0,
239.721,34.739,-0.005,3,"P505_PBO",-31.504,34.268,0.598,0.624,1,0,1,0,0,0,
242.294,34.743,-0.037,20,"TOKE_GPS",-13.129,15.444,0.737,0.733,1,0,1,0,0,0,
242.703,34.749,-0.034,20,"P200_PBO",-15.284,13.086,1.72,1.72,1,0,1,0,0,0,
243.57,34.755,-0.011,8,"P035_PBO",-8.623,4.463,0.2,0.2,1,0,1,0,0,0,
241.455,34.771,-0.002,20,"P719_PBO",-15.431,15.712,0.7,0.8,1,0,1,0,0,0,
244.34,34.784,-0.015,8,"SCH2_PBO",-3.72,1.045,0.2,0.2,1,0,1,0,0,0,
242.732,34.785,-0.005,20,"PIE1_PBO",-10.026,11.882,0.6,0.4,1,0,1,0,0,0,
241.152,34.792,-0.001,20,"P706_PBO",-19.632,19.319,1.4,1.4,1,0,1,0,0,0,
239.743,34.798,-0.036,3,"P265_PBO",-31.031,34.814,1.26,1.16,1,0,1,0,0,0,
241.107,34.8,-0.04,16,"P225_PBO",-20.907,19.999,1.01,1.03,1,0,1,0,0,0,
244.673,34.806,-0.021,8,"PCOL_PBO",-1.434,0.632,1.55,1.26,1,0,1,0,0,0,
245.396,34.807,-0.017,8,"P379_PBO",-2.714,1.286,1.11,0.98,1,0,1,0,0,0,
241.459,34.822,0,20,"P117_PBO",-16.529,17.812,0.4,0.5,1,0,1,0,0,0,
240.286,34.823,-0.057,3,"P431_PBO",-28.409,29.722,0.89,0.92,1,0,1,0,0,0,
243.664,34.829,-0.008,8,"P055_PBO",-7.321,2.961,0.2,0.2,1,0,1,0,0,0,
242.83,34.834,-0.07,20,"P199_PBO",-11.715,13.762,1.59,1.73,1,0,1,0,0,0,
241.121,34.835,-0.002,20,"P057_PBO",-19.73,17.319,0.4,0.5,1,0,1,0,0,0,
241.382,34.839,-0.002,20,"P116_PBO",-15.629,16.113,0.6,0.6,1,0,1,0,0,0,
240.516,34.852,-0.046,3,"P270_PBO",-25.237,25.103,1.04,0.98,1,0,1,0,0,0,
240.845,34.856,-0.005,3,"P677_PBO",-22.431,17.626,1.8,2,1,0,1,0,0,0,
239.76,34.871,-0.003,3,"HNPS_PBO",-30.435,31.15,1.1,1.1,1,0,1,0,0,0,
241.807,34.875,-0.009,20,"P119_PBO",-12.826,15.804,0.2,0.2,1,0,1,0,0,0,
239.394,34.894,-0.042,3,"P385_PBO",-30.686,35.288,0.97,0.96,1,0,1,0,0,0,
243.019,34.904,-0.057,5,"P426_PBO",-10.521,11.544,0.89,0.91,1,0,1,0,0,0,
242.988,34.919,-0.01,5,"P026_PBO",-10.02,11.076,0.2,0.2,1,0,1,0,0,0,
242.306,34.925,-0.011,20,"MAWY_PBO",-11.264,14.707,0.587,0.592,1,0,1,0,0,0,
