lon,lat,east_vel,north_vel,east_sig,north_sig,correlation,other1,tog,name,up_vel,up_sig,east_adjust,north_adjust,up_adjust
241.678,34.135,-27.511,25.886,0.86,0.89,-0.059,22,true,BBDM_PBO,0,1,0,0,0
242.503,34.136,-22.843,21.134,1.69,1.87,-0.097,16,true,P242_PBO,0,1,0,0,0
241.873,34.137,-26.016,24.639,0.84,0.87,-0.061,22,true,P448_PBO,0,1,0,0,0
242.274,34.137,-24.367,21.493,1.21,1.2,-0.015,16,true,P274_PBO,0,1,0,0,0
241.37,34.139,-28.238,29.232,0.561,0.566,-0.01,22,true,COON_PBO,0,1,0,0,0
256.593,34.147,-1.217,-0.346,0.5,0.5,0,1,true,Y109_GPS,0,1,0,0,0
241.17,34.157,-29.142,30.306,0.86,0.89,-0.061,22,true,COPR_PBO,0,1,0,0,0
244.855,34.158,-2.556,0.639,0.589,0.572,-0.009,8,true,BM25_GPS,0,1,0,0,0
240.961,34.168,-29.354,30.923,0.3,0.2,-0.007,3,true,P047_PBO,0,1,0,0,0
242.395,34.172,-22.641,23.158,1.21,1.24,-0.117,16,true,P257_PBO,0,1,0,0,0
241.78,34.179,-26.451,24.204,0.3,0.2,-0.002,22,true,P457_PBO,0,1,0,0,0
241.438,34.179,-26.753,30.876,0.99,1,-0.044,22,true,P537_PBO,0,1,0,0,0
241.425,34.182,-27.367,28.474,0.577,0.581,-0.01,22,true,EOUT_PBO,0,1,0,0,0
241.723,34.185,-27.119,24.555,0.86,0.89,-0.06,22,true,FGST_PBO,0,1,0,0,0
242.684,34.187,-18.247,17.384,0.5,0.8,0,21,true,P012_PBO,0,1,0,0,0
